product_ean,sales_pieces,sales_turnover_gross,store_id,sales_date_id,sales_receipt
9110167,1.0,22800.0,110,20191205,112107247
9110167,1.0,22800.0,110,20191205,112110533
9110167,1.0,22800.0,110,20191203,110927661
9110167,1.0,22800.0,110,20191204,111350533
9110167,1.0,22800.0,110,20191205,111970709
9110167,2.0,45600.0,110,20191206,112335959
9110167,1.0,22800.0,110,20191206,112424556
9110167,2.0,45600.0,110,20191204,110992430
9110167,1.0,22800.0,110,20191204,111187636
9110167,1.0,22800.0,110,20191206,112510621
9110167,1.0,22800.0,110,20191206,112504369
9110167,2.0,45600.0,110,20191203,110803293
9096004,2.0,45200.0,110,20191206,112424556
9110167,2.0,45600.0,110,20191207,113258055
9110167,2.0,45600.0,110,20191203,110865771
9110167,3.0,68400.0,110,20191204,111330970
9110167,1.0,22800.0,110,20191205,112138716
9110167,1.0,22800.0,110,20191203,110896123
9110167,1.0,22800.0,110,20191208,113745200
9110167,1.0,22800.0,110,20191208,113747887
9110167,1.0,22800.0,110,20191207,113099869
9110167,1.0,22800.0,110,20191207,113509638
9110167,1.0,22800.0,110,20191208,113602412
9110167,1.0,22800.0,110,20191208,113564441
9110167,1.0,22800.0,110,20191206,112231216
9110167,1.0,22800.0,110,20191206,112222701
9096004,1.0,22600.0,110,20191206,112510621
9096004,1.0,22600.0,110,20191207,113381875
9096004,1.0,22600.0,110,20191208,113693558
9110167,2.0,45600.0,110,20191209,114174979
9096004,1.0,22600.0,110,20191208,113926020
9110167,1.0,22800.0,110,20191206,112454963
9110167,1.0,22800.0,110,20191210,114780999
9110167,1.0,22800.0,110,20191208,113894393
9096004,1.0,22600.0,110,20191208,113934117
9110167,1.0,22800.0,110,20191208,113708911
9096004,1.0,22600.0,110,20191207,113517183
9096004,1.0,22600.0,110,20191207,113440733
9110167,1.0,22800.0,110,20191207,113519729
9110167,1.0,21800.0,53,20191211,115114434
9110167,1.0,21800.0,53,20191210,114999609
9096004,1.0,21600.0,53,20191208,113634235
9096004,1.0,21600.0,53,20191211,115334194
9096004,3.0,64800.0,53,20191210,115010076
9096004,1.0,21600.0,53,20191210,115003777
9096004,2.0,43200.0,53,20191212,115468738
9096004,1.0,21600.0,53,20191213,115837518
9096004,1.0,21600.0,53,20191211,115331823
9096004,1.0,21600.0,53,20191211,115265267
9096004,1.0,21600.0,53,20191211,115222085
9096004,1.0,21600.0,53,20191209,114638577
9096004,1.0,21600.0,53,20191212,115454729
9096004,6.0,129600.0,53,20191211,115136113
9096004,1.0,21600.0,53,20191215,116491564
9096004,2.0,43200.0,53,20191210,115031253
